Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,67,male,2,own,,little,1169,6,radio/TV,Low
1,22,female,2,own,little,moderate,5951,48,radio/TV,High
2,49,male,1,own,little,,2096,12,education,Low
3,45,male,2,free,little,little,7882,42,furniture/equipment,High
4,53,male,2,free,little,little,4870,24,car,Medium
5,35,male,1,free,,,9055,36,education,High
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,Medium
7,35,male,3,rent,little,moderate,6948,36,car,High
8,61,male,1,own,rich,,3059,12,radio/TV,Medium
9,28,male,3,own,little,moderate,5234,30,car,High
10,25,female,2,rent,little,moderate,1295,12,car,Low
11,24,female,2,rent,little,little,4308,48,business,Medium
12,22,female,2,own,little,moderate,1567,12,radio/TV,Low
13,60,male,1,own,little,little,1199,24,car,Low
14,28,female,2,rent,little,little,1403,15,car,Low
15,32,female,1,own,moderate,little,1282,24,radio/TV,Low
16,53,male,2,own,,,2424,24,radio/TV,Medium
17,25,male,2,own,,little,8072,30,business,High
18,44,female,3,free,little,moderate,12579,24,car,Medium
19,31,male,2,own,quite rich,,3430,24,radio/TV,Medium
20,48,male,2,own,little,,2134,9,car,Low
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,Medium
22,48,male,1,rent,little,little,2241,10,car,Low
23,44,male,2,own,moderate,moderate,1804,12,car,Low
24,26,male,2,own,,,2069,10,furniture/equipment,Low
25,36,male,1,own,little,little,1374,6,furniture/equipment,Low
26,39,male,1,own,little,,426,6,radio/TV,Low
27,42,female,2,rent,rich,rich,409,12,radio/TV,Low
28,34,male,2,own,little,moderate,2415,7,radio/TV,Medium
29,63,male,2,own,little,little,6836,60,business,High
30,36,male,2,own,rich,moderate,1913,18,business,Low
31,27,male,2,own,little,little,4020,24,furniture/equipment,Medium
32,30,male,2,own,moderate,moderate,5866,18,car,Medium
33,57,male,1,rent,,,1264,12,business,Low
34,33,female,3,own,little,rich,1474,12,furniture/equipment,Low
35,25,male,1,own,little,moderate,4746,45,radio/TV,Medium
36,31,male,2,free,little,,6110,48,education,High
37,37,male,2,own,little,rich,2100,18,radio/TV,Low
38,37,male,2,own,little,rich,1225,10,domestic appliances,Low
39,24,male,2,own,little,moderate,458,9,radio/TV,Low
40,30,male,3,own,quite rich,,2333,30,radio/TV,Medium
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,Low
42,44,male,1,own,little,moderate,6204,18,repairs,Medium
43,24,male,2,rent,moderate,little,6187,30,car,High
44,58,female,1,free,little,little,6143,48,car,High
45,35,female,3,own,little,,1393,11,car,Low
46,39,male,2,own,quite rich,,2299,36,radio/TV,Low
47,23,female,0,rent,quite rich,little,1352,6,car,Low
48,39,male,1,own,little,,7228,11,car,Medium
49,28,female,2,own,moderate,,2073,12,radio/TV,Low
